region,강도,살인,성범죄,절도,폭력,cctv_count,경찰서,파출소 및 지구대
서울 종로구,5,1,208,1180,1360,1223.0,2.0,20.0
서울 중구,5,5,180,1410,1378,1191.0,2.0,15.0
서울 용산구,4,10,262,1072,1941,1930.0,1.0,7.0
서울 성동구,2,5,114,968,1033,1314.0,1.0,9.0
서울 광진구,6,2,237,1321,1303,1304.0,1.0,10.0
서울 동대문구,4,7,125,1618,1462,1368.0,1.0,11.0
서울 중랑구,2,5,142,1439,1579,2054.0,1.0,8.0
서울 성북구,1,2,146,884,1149,2367.0,2.0,10.0
서울 강북구,0,6,141,968,1169,4596.0,1.0,9.0
서울 도봉구,0,7,74,800,858,3113.0,1.0,8.0
서울 노원구,3,7,143,1506,1434,4240.0,1.0,8.0
서울 은평구,1,9,131,1520,1559,1773.0,2.0,9.0
서울 서대문구,0,3,131,1012,900,1292.0,1.0,8.0
서울 마포구,4,4,504,1469,1912,1497.0,1.0,8.0
서울 양천구,1,4,105,1513,1364,4795.0,1.0,8.0
서울 강서구,6,5,265,1671,2049,2135.0,1.0,11.0
서울 구로구,0,7,187,1572,1616,2132.0,1.0,8.0
서울 금천구,3,6,127,887,992,935.0,1.0,5.0
서울 영등포구,6,10,281,1790,2070,5515.0,1.0,10.0
서울 동작구,1,1,181,1091,1187,890.0,1.0,7.0
서울 관악구,3,4,335,1967,2167,2106.0,1.0,9.0
서울 서초구,5,10,361,1587,1812,6397.0,2.0,11.0
서울 강남구,17,16,635,2094,3335,2672.0,2.0,14.0
서울 송파구,3,5,316,2500,2346,1831.0,1.0,11.0
서울 강동구,4,3,166,1662,1519,1464.0,1.0,9.0
부산 중구,1,1,45,574,645,503.0,1.0,5.0
부산 서구,1,3,28,662,470,569.0,1.0,4.0
부산 동구,5,2,62,567,728,671.0,1.0,5.0
부산 영도구,1,2,22,443,487,915.0,1.0,4.0
부산 부산진구,8,4,312,2678,2848,1017.0,1.0,10.0
부산 동래구,4,3,82,1264,1101,991.0,1.0,6.0
부산 남구,0,4,105,862,1039,2074.0,1.0,7.0
부산 북구,2,5,74,1137,891,887.0,1.0,5.0
부산 강서구,2,3,46,446,625,1172.0,1.0,9.0
부산 해운대구,1,2,142,1674,1394,805.0,1.0,9.0
부산 사하구,3,5,82,952,1216,1037.0,1.0,6.0
부산 금정구,4,4,72,878,854,1309.0,1.0,5.0
부산 연제구,4,6,86,833,1076,1022.0,1.0,4.0
부산 수영구,1,2,97,795,1015,1877.0,,4.0
부산 사상구,1,5,81,797,1072,1230.0,1.0,6.0
부산 기장군,0,1,61,448,658,2020.0,1.0,5.0
대구 중구,1,2,183,1188,994,935.0,1.0,4.0
대구 동구,9,4,128,1244,1652,1941.0,1.0,9.0
대구 서구,2,3,72,1025,974,5249.0,1.0,5.0
대구 남구,0,0,74,682,767,1014.0,1.0,5.0
대구 북구,2,4,98,1553,1571,2217.0,2.0,8.0
대구 수성구,0,8,119,990,1417,3017.0,1.0,7.0
대구 달서구,1,8,193,1965,2177,3264.0,2.0,13.0
대구 달성군,0,4,69,912,783,1670.0,1.0,11.0
대구 군위군,0,0,3,93,79,665.0,,4.0
인천 중구,4,3,116,791,936,909.0,1.0,7.0
인천 동구,0,1,15,206,204,374.0,,3.0
인천 미추홀구,8,14,259,1444,2392,3176.0,1.0,9.0
인천 연수구,2,7,120,1185,1363,2122.0,1.0,6.0
인천 남동구,4,8,218,1242,2212,1491.0,2.0,10.0
인천 부평구,8,7,298,2143,2701,1513.0,2.0,11.0
인천 계양구,1,4,97,825,1154,1472.0,1.0,5.0
인천 서구,6,8,237,1356,2121,2059.0,1.0,9.0
인천 강화군,0,1,20,168,312,1073.0,1.0,13.0
인천 옹진군,0,0,10,15,65,130.0,,6.0
광주 동구,0,1,55,560,672,81.0,1.0,5.0
광주 서구,7,4,185,1246,1635,51.0,1.0,7.0
광주 남구,1,2,58,759,695,79.0,1.0,6.0
광주 북구,3,5,138,1877,1432,433.0,1.0,9.0
광주 광산구,7,4,151,1658,1811,1201.0,1.0,13.0
대전 동구,5,7,91,1023,1251,908.0,1.0,6.0
대전 중구,1,0,136,1172,1541,4526.0,1.0,6.0
대전 서구,5,10,224,1873,2519,882.0,2.0,8.0
대전 유성구,5,8,127,1064,1222,590.0,1.0,7.0
대전 대덕구,1,2,68,546,810,1104.0,1.0,4.0
울산 중구,0,7,58,530,688,2263.0,1.0,5.0
울산 남구,4,3,171,955,1652,1283.0,1.0,6.0
울산 동구,5,5,49,498,721,597.0,1.0,4.0
울산 북구,1,2,45,712,707,1759.0,1.0,7.0
울산 울주군,2,6,59,507,749,,1.0,10.0
세종시,1,4,124,1117,903,1575.0,2.0,10.0
경기도 고양시,10,11,276,2645,3767,2356.0,3.0,18.0
경기도 과천시,0,2,15,327,179,300.0,1.0,2.0
경기도 광명시,2,4,60,872,1094,1136.0,1.0,6.0
경기도 광주시,5,3,102,1015,1670,1732.0,1.0,9.0
경기도 구리시,0,1,76,572,709,961.0,1.0,5.0
경기도 군포시,1,3,69,876,771,854.0,1.0,5.0
경기도 김포시,3,8,135,1964,2057,1685.0,1.0,12.0
경기도 남양주시,9,7,182,1566,2258,1948.0,2.0,17.0
경기도 동두천시,4,2,55,360,558,645.0,1.0,5.0
경기도 부천시,3,11,331,3659,3866,2175.0,3.0,14.0
경기도 성남시,5,9,323,3074,3852,2954.0,3.0,23.0
경기도 수원시,7,17,511,5042,5230,4933.0,3.0,23.0
경기도 시흥시,4,12,197,1726,2598,2130.0,1.0,12.0
경기도 안산시,8,12,328,2722,3737,2901.0,2.0,22.0
경기도 안성시,0,3,58,680,836,1569.0,1.0,10.0
경기도 안양시,0,0,210,1596,1808,1749.0,2.0,10.0
경기도 양주시,4,2,88,660,1075,1200.0,1.0,10.0
경기도 여주시,0,0,47,298,436,1670.0,1.0,11.0
경기도 오산시,1,3,92,953,1257,655.0,1.0,4.0
경기도 용인시,1,12,255,3200,3245,3975.0,2.0,22.0
경기도 의왕시,0,1,42,237,363,805.0,1.0,4.0
경기도 의정부시,2,5,184,1475,2129,1648.0,1.0,7.0
경기도 이천시,1,1,83,605,960,4245.0,1.0,13.0
경기도 파주시,6,11,173,1421,2058,2320.0,1.0,13.0
경기도 평택시,6,11,280,2436,3418,3227.0,1.0,16.0
경기도 포천시,1,1,64,411,715,1507.0,1.0,14.0
경기도 하남시,1,4,80,876,1042,2228.0,1.0,7.0
경기도 화성시,7,14,262,2895,3483,2.0,2.0,18.0
경기도 연천군,0,1,13,131,278,595.0,1.0,7.0
경기도 가평군,0,1,34,139,306,725.0,1.0,6.0
경기도 양평군,0,2,40,288,483,1120.0,1.0,12.0
강원도 강릉시,1,5,77,649,1205,1959.0,1.0,7.0
강원도 동해시,0,1,26,188,424,823.0,1.0,4.0
강원도 삼척시,0,1,21,167,296,480.0,1.0,8.0
강원도 속초시,0,0,42,264,553,442.0,1.0,2.0
강원도 원주시,4,2,144,1125,1490,1776.0,1.0,10.0
강원도 춘천시,3,3,98,817,1158,2690.0,1.0,10.0
강원도 태백시,1,0,11,120,157,15687.0,1.0,5.0
강원도 홍천군,0,4,33,177,286,459.0,1.0,8.0
강원도 횡성군,1,1,13,102,137,778.0,1.0,6.0
강원도 영월군,0,0,13,68,161,934.0,1.0,6.0
강원도 평창군,0,0,8,82,173,190.0,1.0,5.0
강원도 정선군,0,2,20,208,186,630.0,1.0,8.0
강원도 철원군,1,1,17,83,151,767.0,1.0,3.0
강원도 화천군,0,0,9,42,98,239.0,1.0,5.0
강원도 양구군,0,1,12,59,98,398.0,1.0,5.0
강원도 인제군,0,0,9,47,92,675.0,1.0,5.0
강원도 고성군,1,0,8,83,138,540.0,1.0,4.0
강원도 양양군,1,0,22,76,184,338.0,,5.0
충북 제천시,1,2,37,408,413,1286.0,1.0,7.0
충북 청주시,6,13,299,3788,3113,148.0,3.0,21.0
충북 충주시,2,3,95,611,715,2080.0,1.0,9.0
충북 보은군,1,0,9,75,93,323.0,1.0,6.0
충북 옥천군,0,0,18,100,162,406.0,1.0,7.0
충북 영동군,0,1,5,52,96,464.0,1.0,6.0
충북 증평군,0,0,13,75,103,1000.0,,1.0
충북 진천군,0,3,41,250,437,974.0,1.0,5.0
충북 괴산군,1,0,11,42,128,806.0,1.0,6.0
충북 음성군,1,1,42,418,482,1984.0,1.0,7.0
충북 단양군,0,0,13,38,106,397.0,1.0,5.0
충남 계룡시,0,0,8,45,70,101.0,,1.0
충남 공주시,0,3,43,244,315,6.0,1.0,8.0
충남 논산시,2,1,32,373,447,2835.0,1.0,6.0
충남 당진시,0,4,73,314,741,2106.0,1.0,9.0
충남 보령시,1,2,43,290,345,2308.0,1.0,8.0
충남 서산시,4,6,79,349,741,1659.0,1.0,7.0
충남 아산시,5,5,133,1189,1523,4371.0,1.0,12.0
충남 천안시,12,7,327,2942,3284,7323.0,2.0,19.0
충남 금산군,0,2,27,95,184,1704.0,1.0,5.0
충남 부여군,0,2,8,149,166,1677.0,1.0,9.0
충남 서천군,0,2,10,82,184,1515.0,1.0,7.0
충남 청양군,0,0,7,66,102,522.0,1.0,6.0
충남 예산군,3,3,23,183,281,481.0,1.0,6.0
충남 태안군,2,2,23,122,322,1548.0,1.0,6.0
충남 홍성군,0,4,31,202,255,1287.0,1.0,7.0
전북 군산시,1,6,107,747,1091,3305.0,1.0,21.0
전북 김제시,0,2,29,162,291,901.0,1.0,12.0
전북 남원시,2,1,24,241,310,1991.0,1.0,11.0
전북 익산시,3,5,116,1026,1182,1055.0,1.0,19.0
전북 전주시,7,5,258,2667,2622,1937.0,2.0,19.0
전북 정읍시,2,1,24,443,423,601.0,1.0,16.0
전북 완주군,0,0,33,224,303,593.0,1.0,11.0
전북 고창군,0,0,23,77,187,409.0,1.0,9.0
전북 부안군,0,0,14,101,157,525.0,1.0,10.0
전북 임실군,0,0,6,51,52,850.0,1.0,6.0
전북 순창군,0,0,4,39,61,175.0,1.0,7.0
전북 진안군,0,1,4,47,63,1310.0,1.0,8.0
전북 무주군,0,0,12,30,74,858.0,1.0,7.0
전북 장수군,0,0,6,42,60,581.0,1.0,6.0
전남 광양시,0,1,45,400,645,148.0,1.0,8.0
전남 나주시,1,0,27,352,459,2157.0,1.0,11.0
전남 목포시,3,3,131,963,1213,935.0,1.0,11.0
전남 순천시,1,2,93,765,1287,3984.0,1.0,17.0
전남 여수시,3,8,91,713,1302,,1.0,18.0
전남 담양군,0,0,11,110,140,423.0,1.0,6.0
전남 곡성군,0,0,5,56,86,1417.0,1.0,7.0
전남 구례군,0,1,4,73,97,433.0,1.0,6.0
전남 고흥군,0,2,18,146,261,676.0,1.0,12.0
전남 보성군,0,0,12,115,144,1690.0,1.0,8.0
전남 화순군,1,2,15,141,210,2010.0,1.0,8.0
전남 장흥군,0,0,10,88,150,1143.0,1.0,7.0
전남 강진군,0,1,13,80,141,380.0,1.0,7.0
전남 해남군,0,0,17,158,271,572.0,1.0,12.0
전남 영암군,3,1,26,135,254,762.0,1.0,6.0
전남 무안군,0,0,22,236,315,566.0,1.0,7.0
전남 함평군,0,0,8,111,111,756.0,1.0,7.0
전남 영광군,1,2,17,135,194,569.0,1.0,8.0
전남 장성군,0,1,19,142,156,676.0,1.0,7.0
전남 완도군,1,0,14,162,216,334.0,1.0,11.0
전남 진도군,0,0,12,110,153,1559.0,1.0,7.0
전남 신안군,0,0,8,87,122,232.0,1.0,15.0
경북 경산시,4,1,73,921,1115,3913.0,1.0,8.0
경북 경주시,2,1,86,1054,1003,2812.0,1.0,22.0
경북 구미시,2,5,155,1754,1562,2133.0,1.0,17.0
경북 김천시,1,1,36,385,506,2676.0,1.0,14.0
경북 문경시,0,1,17,235,258,2329.0,1.0,8.0
경북 상주시,0,1,21,357,341,1005.0,1.0,13.0
경북 안동시,2,2,61,401,549,5042.0,2.0,17.0
경북 영주시,1,2,26,199,432,1548.0,1.0,8.0
경북 영천시,0,6,35,282,431,2302.0,1.0,12.0
경북 포항시,3,4,182,1923,1761,1594.0,2.0,28.0
경북 의성군,0,1,7,161,141,944.0,1.0,9.0
경북 청송군,0,1,8,59,134,413.0,1.0,7.0
경북 영양군,0,0,1,40,68,477.0,1.0,5.0
경북 영덕군,0,3,12,111,182,546.0,1.0,6.0
경북 청도군,1,1,10,171,201,562.0,1.0,6.0
경북 고령군,0,0,10,79,113,1217.0,1.0,4.0
경북 성주군,0,1,14,146,169,808.0,1.0,7.0
경북 칠곡군,1,2,34,275,525,1909.0,1.0,7.0
경북 예천군,0,1,15,115,171,1031.0,1.0,8.0
경북 봉화군,0,1,6,59,85,929.0,1.0,6.0
경북 울진군,2,1,8,111,177,789.0,1.0,8.0
경북 울릉군,0,0,4,5,25,296.0,1.0,4.0
경남 거제시,3,3,108,856,1180,842.0,1.0,9.0
경남 김해시,7,10,150,2429,2152,6099.0,2.0,14.0
경남 밀양시,0,1,47,246,492,3149.0,1.0,10.0
경남 사천시,2,4,40,267,495,,1.0,8.0
경남 양산시,1,7,91,1380,1473,1427.0,1.0,12.0
경남 진주시,1,4,103,3046,1407,1773.0,1.0,13.0
경남 창원시,5,14,318,3665,4318,3459.0,5.0,33.0
경남 통영시,3,5,59,424,768,2736.0,1.0,8.0
경남 함안군,2,0,12,89,194,1691.0,1.0,7.0
경남 거창군,1,1,12,128,221,1812.0,1.0,7.0
경남 창녕군,1,3,14,155,223,1971.0,1.0,7.0
경남 고성군,0,2,20,126,175,798.0,1.0,7.0
경남 하동군,1,1,12,95,158,2201.0,1.0,8.0
경남 합천군,0,0,3,99,150,789.0,1.0,7.0
경남 남해군,0,1,11,65,116,1262.0,1.0,6.0
경남 함양군,0,0,9,63,110,1179.0,1.0,7.0
경남 산청군,0,2,8,45,97,953.0,1.0,5.0
경남 의령군,0,0,7,40,126,329.0,1.0,7.0
제주 서귀포시,5,4,91,791,1230,681.0,1.0,9.0
제주 제주시,6,9,267,2257,3301,362.0,2.0,17.0
